Symbol,Shortname,Currency,Previousclose,Open,Daylow,Dayhigh,Regularmarketpreviousclose,Regularmarketopen,Regularmarketdaylow,Regularmarketdayhigh,Dividendrate,Dividendyield,Fiveyearavgdividendyield,Beta,Trailingpe,Forwardpe,Volume,Marketcap,Fiftytwoweeklow,Fiftytwoweekhigh,Pricetosalestrailing12months,Fiftydayaverage,Twohundreddayaverage,Profitmargins,Bookvalue,Pricetobook,Earningsquarterlygrowth,Netincometocommon,Trailingeps,Forwardeps,Enterprisetorevenue,Enterprisetoebitda,52weekchange,Ebitda,Totaldebt,Quickratio,Currentratio,Totalrevenue,Debttoequity,Revenuepershare,Returnonassets,Returnonequity,Grossprofits,Freecashflow,Operatingcashflow,Earningsgrowth,Revenuegrowth,Grossmargins,Ebitdamargins,Operatingmargins,Trailingpegratio
ACIU,AC Immune SA,USD,2.73,2.73,2.66,2.8,2.73,2.73,2.66,2.8,0.0,0.0,0.0,1.28,0.0,-35.26,45107.0,0.27,2.25,4.98,6.56,2.97,3.28,-97.29,1.3,2.08,0.0,-39863000.0,-0.44,-0.25,2.87,-3.29,-0.15,-35758000.0,3083000.0,1.82,1.86,0.04,2.37,0.42,-0.12,-31.16,-0.02,0.05,43717000.0,0.0,0.0,-0.5,-87.27,0.29,0.0
ACIW,"ACI Worldwide, Inc.",USD,52.19,51.69,51.55,53.62,52.19,51.69,51.55,53.62,0.0,0.0,0.0,1.19,25.22,20.87,234881.0,5.58,28.79,59.71,3.45,54.18,45.6,14.04,12.68,4.2,1.15,227179008.0,2.11,2.03,3.91,15.02,0.67,421408000.0,1034934016.0,0.86,1.56,1.62,77.84,15.2,0.07,17.88,0.84,0.28,318008992.0,120.7,24.4,0.52,26.05,0.28,0.0
ACLS,"Axcelis Technologies, Inc.",USD,70.82,68.53,68.04,69.58,70.82,68.53,68.04,69.58,0.0,0.0,0.0,1.6,10.17,14.51,244076.0,2.24,66.75,158.61,2.08,73.51,102.46,20.65,30.02,2.29,-0.26,222092000.0,6.76,5.41,1.67,7.34,-0.47,244836992.0,74577000.0,3.02,4.45,1.08,7.64,32.98,0.12,25.0,0.48,0.16,193612992.0,-25.1,-12.2,0.44,22.76,0.18,0.0
ACLX,"Arcellx, Inc.",USD,63.0,63.0,62.98,65.15,63.0,63.0,62.98,65.15,0.0,0.0,0.0,0.26,0.0,-28.37,320295.0,3.43,47.88,107.37,22.02,81.06,69.4,-25.94,8.95,7.09,0.0,-40423000.0,-0.71,-2.25,18.6,-44.37,-0.02,-65299000.0,65332000.0,4.22,4.29,0.16,13.53,2.98,-0.06,-10.79,0.15,0.04,20811000.0,0.0,74.0,0.95,-41.91,-1.29,0.0
ACMR,"ACM Research, Inc.",USD,18.6,17.85,16.82,17.96,18.6,17.85,16.82,17.96,0.0,0.0,0.0,1.54,12.7,8.25,764433.0,1.06,13.87,34.4,1.45,16.71,20.23,12.38,14.2,1.19,0.2,90247000.0,1.33,1.95,1.58,8.22,-0.01,139670000.0,176214000.0,1.32,2.37,0.73,16.48,11.81,0.05,11.86,0.36,-0.1,25502000.0,18.0,21.0,0.49,19.16,0.22,0.0
ACNB,ACNB Corporation,USD,39.69,39.57,39.57,40.73,39.69,39.57,39.57,40.73,1.28,0.03,3.39,0.6,10.89,8.8,11166.0,0.35,30.24,50.72,3.26,43.32,39.06,27.58,35.88,1.13,-0.2,29348000.0,3.73,3.85,5.39,0.0,-0.13,0.0,295200992.0,0.0,0.0,0.11,0.0,12.52,0.01,10.44,0.11,0.0,42687000.0,-20.8,-1.1,0.0,0.0,0.41,0.0
ACNT,Ascent Industries Co.,USD,11.11,11.2,11.05,11.2,11.11,11.2,11.05,11.2,0.0,0.0,2.32,0.79,0.0,13.81,2693.0,0.11,8.16,12.38,0.61,11.08,10.18,-7.25,10.64,1.04,0.0,-26506000.0,-1.87,0.8,0.68,-12.48,0.12,-9970000.0,32667000.0,1.26,3.16,0.18,32.33,18.02,-0.06,-24.62,0.01,0.05,7435000.0,0.0,-0.3,0.05,-5.47,-0.0,0.0
ACOG,Alpha Cognition Inc.,USD,6.68,6.35,5.8,6.64,6.68,6.35,5.8,6.64,0.0,0.0,0.0,0.0,0.0,0.0,211306.0,0.1,4.66,7.0,0.0,5.72,5.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACRS,"Aclaris Therapeutics, Inc.",USD,2.51,2.47,2.42,2.54,2.51,2.47,2.42,2.54,0.0,0.0,0.0,0.12,0.0,-4.7,173143.0,0.26,0.95,5.17,9.54,3.06,1.71,-136.65,1.82,1.33,0.0,-37004000.0,-0.52,-0.58,1.99,-0.86,1.06,-62202000.0,2245000.0,6.81,7.03,0.03,1.72,0.38,-0.19,-25.83,-0.08,-0.02,-17898000.0,0.0,-53.2,-2.84,-229.71,-2.23,0.0
ACRV,"Acrivon Therapeutics, Inc.",USD,5.45,5.55,5.47,5.76,5.45,5.55,5.47,5.76,0.0,0.0,0.0,0.0,0.0,-1.89,9537.0,0.17,3.19,11.9,0.0,6.57,7.62,0.0,5.38,1.04,0.0,-69002000.0,-2.66,-2.7,0.0,-1.11,0.42,-75561000.0,4221000.0,16.0,16.16,0.0,1.95,0.0,-0.24,-37.78,0.0,-0.03,-53158000.0,0.0,0.0,0.0,0.0,0.0,0.0
ACT,"Enact Holdings, Inc.",USD,33.2,33.3,33.29,34.04,33.2,33.3,33.29,34.04,0.74,0.02,0.0,0.57,7.93,7.78,90686.0,5.22,26.13,37.42,4.37,33.55,33.09,57.07,32.61,1.04,0.1,682638016.0,4.29,4.2,4.32,0.0,0.16,0.0,742705984.0,1.15,1.22,1.2,14.75,7.58,0.09,14.38,0.94,0.56,710188032.0,12.7,3.5,0.78,0.0,0.78,0.0
